Filename,Total,Valid,Average
news_based_12_turns_Diversity-awareSelection.json,600,599,89.94
news_based_12_turns_GreedySelection.json,600,600,89.45
news_based_12_turns_Random.json,600,599,87.80
news_based_18_turns_Diversity-awareSelection.json,600,600,90.68
news_based_18_turns_GreedySelection.json,600,600,90.33
news_based_18_turns_Random.json,600,599,90.21
news_based_6_turns_Diversity-awareSelection.json,600,600,87.10
news_based_6_turns_GreedySelection.json,600,600,86.66
news_based_6_turns_Random.json,600,600,83.43
role_based_12_turns_Diversity-awareSelection.json,353,353,91.28
role_based_12_turns_GreedySelection.json,353,353,91.35
role_based_12_turns_Random.json,353,353,88.68
role_based_18_turns_Diversity-awareSelection.json,348,348,91.56
role_based_18_turns_GreedySelection.json,348,348,91.42
role_based_18_turns_Random.json,348,348,90.84
role_based_6_turns_Diversity-awareSelection.json,443,443,88.93
role_based_6_turns_GreedySelection.json,443,443,88.82
role_based_6_turns_Random.json,443,443,84.17
